UTC,Open,High,Low,Close,Volume
25.04.2022 17:38:43.000 UTC,0.91426,0.91426,0.91422,0.91422,4.8
25.04.2022 17:38:44.000 UTC,0.91423,0.91423,0.91421,0.91421,2.4
25.04.2022 17:38:45.000 UTC,0.9142,0.91424,0.9142,0.91424,4.94
25.04.2022 17:38:46.000 UTC,0.91423,0.91423,0.91421,0.91421,4.2
25.04.2022 17:38:48.000 UTC,0.91421,0.91423,0.91421,0.91423,2.4
25.04.2022 17:38:52.000 UTC,0.91422,0.91422,0.91422,0.91422,1.2
25.04.2022 17:38:53.000 UTC,0.9142,0.91423,0.9142,0.91423,6.140000000000001
25.04.2022 17:38:54.000 UTC,0.91424,0.91424,0.91422,0.91422,4.8
25.04.2022 17:38:57.000 UTC,0.91422,0.91422,0.91422,0.91422,1.2
25.04.2022 17:38:59.000 UTC,0.91426,0.91426,0.91424,0.91424,2.4
25.04.2022 17:39:00.000 UTC,0.91423,0.91423,0.91422,0.91422,2.4
25.04.2022 17:39:02.000 UTC,0.91422,0.91426,0.91422,0.91424,6.6000000000000005
25.04.2022 17:39:07.000 UTC,0.91426,0.91426,0.91426,0.91426,2.4
25.04.2022 17:39:08.000 UTC,0.91426,0.91426,0.91424,0.91425,4.8
25.04.2022 17:39:09.000 UTC,0.91423,0.91424,0.91423,0.91423,6
25.04.2022 17:39:10.000 UTC,0.91427,0.91429,0.91427,0.91428,4.8
25.04.2022 17:39:11.000 UTC,0.91428,0.91428,0.91428,0.91428,1.2
25.04.2022 17:39:12.000 UTC,0.91429,0.9143,0.91428,0.9143,3.5999999999999996
25.04.2022 17:39:15.000 UTC,0.9143,0.9143,0.9143,0.9143,3.5999999999999996
25.04.2022 17:39:16.000 UTC,0.9143,0.9143,0.9143,0.9143,1.34
25.04.2022 17:39:19.000 UTC,0.9143,0.91432,0.9143,0.91432,2.4
25.04.2022 17:39:20.000 UTC,0.9143,0.91434,0.9143,0.91434,3.5999999999999996
25.04.2022 17:39:21.000 UTC,0.91436,0.91437,0.91432,0.91432,3.5999999999999996
25.04.2022 17:39:22.000 UTC,0.91433,0.91437,0.91433,0.91436,9
25.04.2022 17:39:23.000 UTC,0.91435,0.91438,0.91434,0.91436,4.8
25.04.2022 17:39:24.000 UTC,0.91436,0.91436,0.91436,0.91436,1.2
25.04.2022 17:39:25.000 UTC,0.91438,0.91438,0.91437,0.91437,2.4
25.04.2022 17:39:26.000 UTC,0.91438,0.91438,0.91437,0.91437,3.5999999999999996
25.04.2022 17:39:27.000 UTC,0.91436,0.91436,0.91431,0.91431,4.8
25.04.2022 17:39:28.000 UTC,0.9143,0.91433,0.9143,0.91433,2.4
25.04.2022 17:39:31.000 UTC,0.91432,0.91433,0.91432,0.91433,3.5999999999999996
25.04.2022 17:39:33.000 UTC,0.91435,0.91435,0.91435,0.91435,1.2
25.04.2022 17:39:34.000 UTC,0.91434,0.91434,0.91431,0.91431,5.08
25.04.2022 17:39:35.000 UTC,0.91433,0.91433,0.91432,0.91432,2.4
25.04.2022 17:39:36.000 UTC,0.91432,0.91432,0.91432,0.91432,5.08
25.04.2022 17:39:37.000 UTC,0.91431,0.91432,0.9143,0.9143,4.94
25.04.2022 17:39:38.000 UTC,0.91431,0.91431,0.91429,0.91429,2.4
25.04.2022 17:39:39.000 UTC,0.91429,0.91431,0.91429,0.91431,2.4
25.04.2022 17:39:40.000 UTC,0.91428,0.91428,0.91428,0.91428,1.2
25.04.2022 17:39:42.000 UTC,0.91427,0.9143,0.91426,0.9143,7.2
25.04.2022 17:39:43.000 UTC,0.91428,0.91431,0.91428,0.91431,4.2
25.04.2022 17:39:45.000 UTC,0.91434,0.91434,0.91434,0.91434,2.4
25.04.2022 17:39:46.000 UTC,0.91433,0.91433,0.9143,0.9143,4.8
